timestamp,message
1766577540155,"{""fd_use"":12,""fd_max"":1024,""used_memory_max"":147,""total_network"":12072,""tmp_free"":4195139584,""memory_utilization"":4,""request_id"":""2c13b3a7-425e-4aa1-b376-c317804189bf"",""rx_bytes"":5770,""cpu_user_time"":20,""cold_start"":false,""agent_memory_avg"":7,""duration"":10,""function_name"":""cr2a-api"",""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577539058,""LambdaInsights"":{""ShareTelemetry"":true}},""tmp_used"":16793600,""agent_version"":""1.0.660.0"",""event_type"":""performance"",""billed_duration"":11,""threads_max"":13,""tmp_max"":4211933184,""cpu_total_time"":20,""billed_mb_ms"":33088,""total_memory"":3008,""agent_memory_max"":7,""tx_bytes"":6302,""cpu_system_time"":0}"
1766577541229,"{""cold_start"":false,""duration"":9,""tmp_max"":4211933184,""used_memory_max"":147,""total_network"":12071,""memory_utilization"":4,""billed_mb_ms"":30080,""fd_use"":12,""threads_max"":13,""tx_bytes"":6302,""fd_max"":1024,""tmp_free"":4195139584,""request_id"":""17b678ec-bf49-46f0-8e54-3767b4fa828c"",""tmp_used"":16793600,""function_name"":""cr2a-api"",""cpu_total_time"":20,""agent_memory_avg"":7,""total_memory"":3008,""agent_memory_max"":7,""rx_bytes"":5769,""agent_version"":""1.0.660.0"",""event_type"":""performance"",""cpu_system_time"":0,""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577540155,""LambdaInsights"":{""ShareTelemetry"":true}},""cpu_user_time"":20,""billed_duration"":10}"
1766577542314,"{""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577541229,""LambdaInsights"":{""ShareTelemetry"":true}},""function_name"":""cr2a-api"",""fd_max"":1024,""fd_use"":12,""agent_memory_max"":7,""request_id"":""a20308ab-0d0b-4544-aa87-c200226c6767"",""threads_max"":14,""total_network"":12072,""event_type"":""performance"",""tx_bytes"":6302,""total_memory"":3008,""billed_duration"":12,""cpu_system_time"":10,""memory_utilization"":4,""cpu_total_time"":10,""rx_bytes"":5770,""used_memory_max"":147,""tmp_free"":4195139584,""tmp_max"":4211933184,""tmp_used"":16793600,""agent_version"":""1.0.660.0"",""agent_memory_avg"":7,""duration"":11,""cold_start"":false,""cpu_user_time"":0,""billed_mb_ms"":36096}"
1766577543404,"{""threads_max"":13,""duration"":10,""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577542314,""LambdaInsights"":{""ShareTelemetry"":true}},""cpu_system_time"":0,""fd_max"":1024,""event_type"":""performance"",""tmp_used"":16793600,""billed_mb_ms"":33088,""cpu_user_time"":20,""cpu_total_time"":20,""agent_memory_max"":7,""total_network"":19241,""billed_duration"":11,""rx_bytes"":6200,""tmp_free"":4195139584,""request_id"":""0879482f-4b37-43da-85fe-1cd874b25ebb"",""tmp_max"":4211933184,""used_memory_max"":147,""agent_memory_avg"":7,""fd_use"":12,""function_name"":""cr2a-api"",""tx_bytes"":13041,""total_memory"":3008,""agent_version"":""1.0.660.0"",""cold_start"":false,""memory_utilization"":4}"
1766577544477,"{""tx_bytes"":6302,""tmp_max"":4211933184,""tmp_used"":16793600,""request_id"":""0bdb691e-07ae-4b31-bc10-775a4a2b85d4"",""cpu_user_time"":0,""function_name"":""cr2a-api"",""billed_duration"":12,""duration"":11,""cpu_system_time"":10,""used_memory_max"":147,""fd_max"":1024,""total_memory"":3008,""rx_bytes"":5770,""cold_start"":false,""agent_memory_max"":7,""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577543404,""LambdaInsights"":{""ShareTelemetry"":true}},""event_type"":""performance"",""memory_utilization"":4,""agent_version"":""1.0.660.0"",""cpu_total_time"":10,""threads_max"":14,""billed_mb_ms"":36096,""tmp_free"":4195139584,""agent_memory_avg"":7,""total_network"":12072,""fd_use"":12}"
1766577545552,"{""function_name"":""cr2a-api"",""agent_version"":""1.0.660.0"",""agent_memory_max"":7,""event_type"":""performance"",""tx_bytes"":6302,""tmp_max"":4211933184,""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577544477,""LambdaInsights"":{""ShareTelemetry"":true}},""cpu_total_time"":0,""threads_max"":14,""cpu_system_time"":0,""billed_duration"":11,""used_memory_max"":147,""total_memory"":3008,""duration"":10,""fd_max"":1024,""agent_memory_avg"":7,""fd_use"":15,""tmp_used"":16793600,""cpu_user_time"":0,""request_id"":""56c2b6f5-171c-4a80-a6b4-f68339bad51b"",""cold_start"":false,""total_network"":12072,""rx_bytes"":5770,""memory_utilization"":4,""billed_mb_ms"":33088,""tmp_free"":4195139584}"
1766577546628,"{""function_name"":""cr2a-api"",""agent_version"":""1.0.660.0"",""cpu_total_time"":10,""memory_utilization"":4,""billed_mb_ms"":30080,""billed_duration"":10,""threads_max"":14,""cold_start"":false,""cpu_user_time"":10,""tmp_free"":4195139584,""tmp_used"":16793600,""total_network"":12203,""agent_memory_max"":7,""fd_max"":1024,""request_id"":""f4517b8a-1402-41cf-bb82-88ecb02b415e"",""fd_use"":15,""rx_bytes"":5835,""tx_bytes"":6368,""duration"":9,""tmp_max"":4211933184,""event_type"":""performance"",""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577545552,""LambdaInsights"":{""ShareTelemetry"":true}},""agent_memory_avg"":7,""total_memory"":3008,""cpu_system_time"":0,""used_memory_max"":147}"
1766577547714,"{""billed_duration"":11,""fd_max"":1024,""cpu_total_time"":0,""agent_memory_avg"":7,""total_memory"":3008,""duration"":10,""used_memory_max"":147,""cpu_system_time"":0,""total_network"":19437,""threads_max"":14,""memory_utilization"":4,""fd_use"":15,""request_id"":""ce1f3dcc-d0fd-4efd-a177-e7795a65726b"",""tmp_used"":16793600,""cold_start"":false,""function_name"":""cr2a-api"",""rx_bytes"":6332,""billed_mb_ms"":33088,""agent_version"":""1.0.660.0"",""event_type"":""performance"",""cpu_user_time"":0,""tmp_free"":4195139584,""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577546628,""LambdaInsights"":{""ShareTelemetry"":true}},""tmp_max"":4211933184,""agent_memory_max"":7,""tx_bytes"":13105}"
1766577548792,"{""rx_bytes"":5769,""cold_start"":false,""cpu_user_time"":0,""fd_use"":15,""fd_max"":1024,""tmp_free"":4195139584,""tmp_max"":4211933184,""billed_duration"":10,""cpu_system_time"":0,""total_memory"":3008,""tx_bytes"":6302,""threads_max"":14,""agent_memory_max"":7,""used_memory_max"":147,""tmp_used"":16793600,""cpu_total_time"":0,""request_id"":""240e39d2-62fb-4ba1-86a1-a1a77c50a061"",""billed_mb_ms"":30080,""duration"":9,""memory_utilization"":4,""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577547714,""LambdaInsights"":{""ShareTelemetry"":true}},""function_name"":""cr2a-api"",""agent_version"":""1.0.660.0"",""agent_memory_avg"":7,""event_type"":""performance"",""total_network"":12071}"
1766577549885,"{""duration"":11,""threads_max"":14,""tmp_used"":16793600,""request_id"":""7f9f6c28-f935-4b99-816d-87dff6dc0722"",""total_network"":12072,""tmp_max"":4211933184,""cpu_user_time"":20,""memory_utilization"":4,""cpu_total_time"":30,""total_memory"":3008,""rx_bytes"":5770,""fd_max"":1024,""fd_use"":12,""cold_start"":false,""event_type"":""performance"",""billed_mb_ms"":36096,""cpu_system_time"":10,""function_name"":""cr2a-api"",""agent_version"":""1.0.660.0"",""tmp_free"":4195139584,""agent_memory_max"":7,""_aws"":{""CloudWatchMetrics"":[{""Namespace"":""LambdaInsights"",""Dimensions"":[[""function_name""]],""Metrics"":[{""Name"":""memory_utilization"",""Unit"":""Percent""},{""Name"":""total_memory"",""Unit"":""Megabytes""},{""Name"":""used_memory_max"",""Unit"":""Megabytes""},{""Name"":""cpu_total_time"",""Unit"":""Milliseconds""},{""Name"":""tx_bytes"",""Unit"":""Bytes""},{""Name"":""rx_bytes"",""Unit"":""Bytes""},{""Name"":""total_network"",""Unit"":""Bytes""},{""Name"":""tmp_used"",""Unit"":""Bytes""}]}],""Timestamp"":1766577548791,""LambdaInsights"":{""ShareTelemetry"":true}},""used_memory_max"":147,""billed_duration"":12,""tx_bytes"":6302,""agent_memory_avg"":7}"
